,title,img_url,ratings,details,price,discount_price,discount_percentage
0,SrO 6 Wireless Home Security Surveillance Cameras with Night Vision_ Motion Detection Sports and Actio...,https://rukminim1.flixcart.com/image/312/312/kvvad8w0/sports-action-camera/k/x/f/spy-magnet-camera-wifi-hidden-camera-wireless-hd-1080p-indoor-original-imafxeen9r3zepwy.jpeg?q=70,430 Ratings & 10 Reviews,Effective Pixels: 1080 MPHDNA,₹694,"₹4,500",84% off
1,SrO 6 Spy Magnet Camera WiFi Hidden Camera Wireless HD 1080P Indoor Home Small Spy Camera Security Cam...,https://rukminim1.flixcart.com/image/312/312/kvvad8w0/sports-action-camera/p/f/x/spy-magnet-camera-wifi-hidden-camera-wireless-hd-1080p-indoor-original-imag8z83egkudzjc.jpeg?q=70,296 Ratings & 14 Reviews,Effective Pixels: 1080 MPFULL HDNA,₹694,"₹5,096",86% off
2,Bzrqx Mini Security Double Antenna Auto Rotating 1080p Night Vision Mobile CCTV Wifi Live Streaming Sp...,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/sports-action-camera/f/y/y/double-antenna-auto-rotating-1080p-night-vision-mobile-cctv-wifi-original-imagd7z2z6fzf4gh.jpeg?q=70,134 Ratings & 5 Reviews,Effective Pixels: 12 MP1920*1080p7 Days Replacement Warranty,"₹1,297","₹2,899",55% off
3,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens",https://rukminim1.flixcart.com/image/312/312/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70,"26,873 Ratings & 3,950 Reviews","Self-Timer, Type C and Mini HDMI, 9 Auto Focus Points, 3x Optical Zoom, WiFi, Full HD, Video Recording at 1080 p on 30fps, APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor.Effective Pixels: 18 MPSensor Type: CMOSWiFi AvailableFull HD2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹29,999","₹33,995",11% off
4,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens,https://rukminim1.flixcart.com/image/312/312/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70,"15,362 Ratings & 2,092 Reviews","Self-Timer, Type C and Mini HDMI, 9 point AF with 1 centre cross-type AF point, Standard ISO 100 - 6400 (expandable to 12 800), Wi-Fi / NFC supported, Full HD video with fully manual control and selectable frame rates, 1080p recording at 30p, optical viewfinderEffective Pixels: 24.1 MPSensor Type: CMOSWiFi Available1080p recording at 30p2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)","₹39,999","₹47,995",16% off
5,Bzrqx MINI CAMERA Spy Camera Hidden Camera Detector 1080P WiFi Camera for Home Office Security Sports ...,https://rukminim1.flixcart.com/image/312/312/xif0q/home-security-camera/d/r/c/1-mag2-indoor-outdoor-security-camera-sropx-original-imaghnhxgzktqh2t.jpeg?q=70,5 Ratings & 0 Reviews,Effective Pixels: 12 MP1920*1080p7 Days Replacement Warranty,₹899,"₹2,899",68% off
6,SIOVS Mini small Body PEN Nanny Camera Full Hd 1080p Video Audio Recording Taking 75 Minutes Battery L...,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/home-security-camera/w/l/5/1-drd000035-indoor-outdoor-security-camera-ctrzq-original-imagaebvgmvpuqpc.jpeg?q=70,48 Ratings & 3 Reviews,Effective Pixels: 12 MP1080p7 Days Replacement Warranty,"₹1,799","₹3,999",55% off
7,"SIOVS Mini small Body PEN Nanny Camera V8 Wired Video and Audio Recording, HD 1080P, Portable Pocket B...",https://rukminim1.flixcart.com/image/312/312/ky3b0y80/home-security-camera/m/t/o/1-drd000032-indoor-outdoor-security-camera-ctrzq-original-imagaefd8mmpzqm6.jpeg?q=70,12 Ratings & 1 Reviews,Effective Pixels: 12 MP1080p7 Days Replacement Warranty,"₹1,739","₹3,999",56% off
8,RHONNIUM Plain 1080-HD Cam-042 ™ 30M Depth 16 MP Ultra HD Under Water Sports and Action Camera,https://rukminim1.flixcart.com/image/312/312/juwzf680/sports-action-camera/r/4/z/30m-depth-16-mp-ultra-hd-under-water-plain-1080-hd-cam-042-30m-original-imaffxdhbyszxg8h.jpeg?q=70,141 Ratings & 6 Reviews,Effective Pixels: 12 MPHDRhonnium® 1 year Replacement Warrenty,"₹1,399","₹2,499",44% off
9,SROPX MINI Wireless Hidden Video Audio Full HD 1080P CCTV WiFi IP Camera with Night Vision Sports and ...,https://rukminim1.flixcart.com/image/312/312/l4pxk7k0/sports-action-camera/k/v/2/magnet-camera-wifi-hidden-camera-wireless-hd-1080p-hidden-night-original-imagfk9gsz3hc94v.jpeg?q=70,92 Ratings & 3 Reviews,Effective Pixels: 12 MP1920*1080p7 Days Replacement Warranty,₹899,"₹2,499",64% off
