,title,img_url,details,discount_percentage
0,"Jewellery Sets, Earrings....",https://rukminim1.flixcart.com/image/150/150/kzpw2vk0/jewellery-set/v/5/q/na-na-ss22-sohnck1218-sohi-original-imagbny9ffrg2vf9.jpeg?q=70,#GreatDeal,From ₹69
1,Handpicked Selection,https://rukminim1.flixcart.com/image/150/150/ktuewsw0/sunglass/f/q/n/daimond-cut-medium-singco-india-original-imag73fzzknhtnkq.jpeg?q=70,Men & Women Sunglasses,Under ₹299
2,Trendy Dress Materials!,https://rukminim1.flixcart.com/image/150/150/kzx1a4w0/fabric/e/k/4/yes-3-35-m-unstitched-2-m-2-5-m-jns083-1867-jansi-original-imagbtrw7fvngpzm.jpeg?q=70,Lowest Price Alert!,From ₹199
3,"Jumpsuits, Skirts, Dresses...",https://rukminim1.flixcart.com/image/150/150/k8by93k0/jumpsuit/z/a/2/38-211296601-only-original-imafqcp78pgpxrbv.jpeg?q=70,Every day is a fashion show!,Upto 80% Off
4,Women's Shoes,https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/n/y/9/6-376770-6-puma-persian-red-original-imagbdyagzjzuueu-bb.jpeg?q=70,"Puma, Reebok & more",50 - 80% off
5,"Tops, Trousers, Nightsuits...",https://rukminim1.flixcart.com/image/150/150/xif0q/top/w/r/p/m-19570156-mast-harbour-original-imagm5tazhkvzmfz.jpeg?q=70,"Dressberry, Kassually, Dreambe.",Under ₹699
6,"Jeans, Tops, Dresses...",https://rukminim1.flixcart.com/image/150/150/xif0q/jean/b/4/j/34-fwaw22jen117-flying-machine-original-imagkfcg3fydz3yj.jpeg?q=70,"Flying Machine, Sassafras...",60-80% Off
7,Summer Special !!,https://rukminim1.flixcart.com/image/150/150/xif0q/slipper-flip-flop/i/h/x/-original-imaghtdhfmxcazzv.jpeg?q=70,Sandals & Slides,Under ₹399
8,"UCB, U.S Polo, Jack & Jones..",https://rukminim1.flixcart.com/image/150/150/xif0q/t-shirt/i/o/l/-original-imagjfbpduzhzfkz.jpeg?q=70,"Printed, Striped Tees",From ₹199
9,"Puma, Reebok ...",https://rukminim1.flixcart.com/image/150/150/xif0q/shoe/i/g/k/4-gc0050-6-5-reebok-black-original-imagmxp2wupjrg2k.jpeg?q=70,Women's Sports Shoes,Min. 50% Off
