,title,img_url,brand,price,discount_price,discount_percentage
0,Men Regular Fit Light Green Lycra Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/m/a/j/34-slim-fit-men-dark-grey-cotton-lycra-blend-trousers-moonvelly-original-imag9ycrzzt8j5uf-bb.jpeg?q=70,MOONVELLY,₹379,"₹1,399",72% off
1,Men Regular Fit Grey Lycra Blend Trousers,https://rukminim1.flixcart.com/image/612/612/l186t8w0/trouser/e/v/x/36-slim-fit-men-dark-grey-cotton-lycra-blend-trousers-moonvelly-original-imagcu4kxrxgzwzm.jpeg?q=70,MOONVELLY,₹379,"₹1,399",72% off
2,Men Slim Fit Black Viscose Rayon Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/e/w/z/36-vhtffslbi72447-van-heusen-original-imaggz2zkafr7zvz.jpeg?q=70,VAN HEUSEN,"₹1,264","₹2,299",45% off
3,Men Slim Fit Grey Polycotton Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/c/o/j/32-lptfmssbj87771-louis-philippe-original-imagg49pyzexhz92.jpeg?q=70,LOUIS PHILIPPE,"₹1,679","₹2,799",40% off
4,Men Regular Fit Beige Viscose Rayon Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/4/f/p/-original-imagp7k8gzz9az65.jpeg?q=70,PARK AVENUE,₹804,"₹2,299",65% off
5,Men Regular Fit Grey Pure Cotton Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/d/m/1/32-a5498-0008grey-levi-s-original-imagm5n8mbmetj63.jpeg?q=70,LEVI'S,"₹1,214","₹2,699",55% off
6,Men Regular Fit Black Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/w/r/x/34-cool-cotton-a-flash-original-imagzsc3sayrzzgz.jpeg?q=70,A Flash,₹759,"₹1,599",52% off
7,Men Regular Fit Green Pure Cotton Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/x/r/s/26-530-2-ftx-original-imaggtkkyvgf5y3v.jpeg?q=70,FTX,₹499,₹999,50% off
8,Men Slim Fit Blue Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/kf75fgw0-0/trouser/t/n/u/32-astfwsrfz29707-allen-solly-original-imafvptggyy6qxhy.jpeg?q=70,Allen Solly,₹854,"₹1,899",55% off
9,Men Regular Fit Black Viscose Rayon Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/x/h/b/-original-imagm6mfd9anhthg.jpeg?q=70,ARROW,₹839,"₹2,399",65% off
10,Slim Fit Men Lycra Blend Black Lycra Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/w/j/z/36-mn-ss-bk-metronaut-original-imagh8jekgmzevxx.jpeg?q=70,METRONAUT,₹649,"₹1,999",67% off
11,Men Slim Fit Brown Polyester Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/6/f/e/40-fkvt-03-co-vurso-original-imafxu9hh2th4eyq.jpeg?q=70,VURSO,₹439,"₹1,799",75% off
12,Men Slim Fit Cream Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/6/2/u/40-chino-cream-urbano-fashion-original-imagjzqfpeuxygqm.jpeg?q=70,Urbano Fashion,₹715,"₹1,699",57% off
13,Men Regular Fit Dark Blue Viscose Rayon Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/b/b/u/-original-imagpn66n4skgzhe.jpeg?q=70,PARK AVENUE,₹734,"₹2,099",65% off
14,Men Slim Fit Black Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/q/u/n/36-vhtffslbj16183-van-heusen-original-imaggp9pecuyfaqf.jpeg?q=70,VAN HEUSEN,"₹1,149","₹2,299",50% off
15,Men Regular Fit Blue Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/f/o/k/38-araetr2089-arrow-original-imagg4eynsnhxjzg.jpeg?q=70,ARROW,"₹1,149","₹2,299",50% off
16,Men Regular Fit White Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/f/d/3/28-white230150-1-kurus-original-imagpccmgtwrucyz.jpeg?q=70,Kurus,₹499,"₹1,299",61% off
17,Men Regular Fit Black Lycra Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/n/p/m/28-blacktrouser28-sh-kbh-original-imaga4afdwrsutuq-bb.jpeg?q=70,SH.KBH,₹250,₹399,37% off
18,Men Skinny Fit Beige Viscose Rayon Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/q/a/o/38-dlnm2319a2is23f1-blackberrys-original-imagztakgfxscmyg.jpeg?q=70,Blackberrys,"₹1,945","₹2,595",25% off
19,Men Slim Fit Beige Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/kfbfr0w0-0/trouser/t/m/w/32-astfwsrf099278-allen-solly-original-imafvswrumjzdsn2.jpeg?q=70,Allen Solly,₹854,"₹1,899",55% off
20,Men Regular Fit Grey Cotton Blend Trousers,https://rukminim1.flixcart.com/image/612/612/xif0q/trouser/4/s/1/28-230150lntgrey-katro-original-imagq329xgscxjhk.jpeg?q=70,Kurus,₹499,"₹1,299",61% off
