,title,img_url,brand,price,discount_price
0,Men Slim Fit Solid Spread Collar Formal Shirt,https://rukminim1.flixcart.com/image/612/612/l45xea80/shirt/v/e/t/38-men-regular-slim-fit-solid-button-down-collar-formal-shirt-original-imagf4mxnhanzdtn.jpeg?q=70,MILDIN,₹399,"₹1,999"
1,Men Regular Fit Printed Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/d/i/y/s-st10-vebnor-original-imagz6wugphhs3d4.jpeg?q=70,VeBNoR,₹289,"₹1,849"
2,Men Regular Fit Printed Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/z/m/y/m-st10-vebnor-original-imagzdthsr7a9h9y.jpeg?q=70,VeBNoR,₹289,"₹1,849"
3,Men Slim Fit Printed Cut Away Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/kufuikw0/shirt/j/5/0/s-hlsh012786-highlander-original-imag7kcgyhkyr5wg.jpeg?q=70,HIGHLANDER,₹359,"₹1,199"
4,Men Regular Fit Printed Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/c/o/e/s-st10-vebnor-original-imagzdsu8hkehz8f.jpeg?q=70,VeBNoR,₹289,"₹1,849"
5,Men Regular Fit Solid Mandarin Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/s/m/y/m-st1-vebnor-original-imagn69kcwphkfrf.jpeg?q=70,VeBNoR,₹389,"₹1,849"
6,Men Regular Fit Printed Cut Away Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/e/b/6/m-men-slim-fit-printed-spread-collar-casual-shirt-qugue-original-imagjhg2zhgu3fpa.jpeg?q=70,Qugue,₹299,₹999
7,Men Regular Fit Checkered Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/kwtkxow0/shirt/4/a/6/m-mcr-yellow-p-v-creations-original-imag9f3ydprb24r9.jpeg?q=70,VTEXX,₹299,"₹1,299"
8,Men Regular Fit Solid Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/y/k/f/s-st2-vebnor-original-imagpv9agju57s8w.jpeg?q=70,VeBNoR,₹389,"₹1,849"
9,Men Regular Fit Solid Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/z/g/d/xl-st2-vebnor-original-imagpw72vhqfczsp.jpeg?q=70,VeBNoR,₹389,"₹1,849"
10,Men Regular Fit Solid Spread Collar Formal Shirt,https://rukminim1.flixcart.com/image/612/612/l02r1jk0/shirt/f/g/7/m-fbrml-r-fibermill-original-imagbxyucazhchfx.jpeg?q=70,FIBERMILL,₹399,"₹1,599"
11,Men Regular Fit Solid Spread Collar Formal Shirt,https://rukminim1.flixcart.com/image/612/612/ksdjma80/shirt/2/v/j/m-men-regular-fit-solid-spread-collar-casual-shirt-refresh-original-imag5yn9ad9sf36t.jpeg?q=70,Refresh,₹349,₹999
12,Men Regular Fit Printed Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/r/e/q/xxl-st10-vebnor-original-imagzezrqcgghjjg.jpeg?q=70,VeBNoR,₹289,"₹1,849"
13,Men Regular Fit Solid Mandarin Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/h/z/k/xl-st1-vebnor-original-imagn7hdhtgpghjk.jpeg?q=70,VeBNoR,₹389,"₹1,849"
14,Men Regular Fit Solid Mandarin Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/t/v/o/l-st1-vebnor-original-imagn69nznqeege4.jpeg?q=70,VeBNoR,₹389,"₹1,849"
15,Men Regular Fit Printed Spread Collar Casual Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/b/3/2/xxl-st10-vebnor-original-imagzdu7azhy9tvf.jpeg?q=70,VeBNoR,₹289,"₹1,849"
16,Men Slim Fit Solid Spread Collar Formal Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/shirt/d/2/k/3xl-men-regular-slim-fit-solid-button-down-collar-formal-shirt-original-imagfh9bespwscun.jpeg?q=70,MILDIN,₹399,"₹1,999"
