,title,img_url,brand,price,discount_price,discount_percentage
0,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/c/4/s/xl-bg23tslsbk4033-bglore-original-imagngfkhcfmacdx.jpeg?q=70,BGLORE,₹269,"₹1,499",82% off
1,"Men Printed, Typography Round Neck Cotton Blend Black T...",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/i/5/h/s-bg23tsssbk4085-bglore-original-imagn9xczghahg6y.jpeg?q=70,BGLORE,₹242,"₹1,399",82% off
2,"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, ...",https://rukminim1.flixcart.com/image/612/612/l3j2cnk0/t-shirt/2/w/p/l-723-2-5-7-8-ftx-original-imagemgrpafdug8v.jpeg?q=70,FTX,₹469,"₹1,499",68% off
3,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/t/e/0/l-st-theboys-black-smartees-original-imagnqszzzzyuzru.jpeg?q=70,Smartees,₹199,"₹1,599",87% off
4,Men Solid Round Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/kr58yvk0/t-shirt/c/n/k/m-r-hf-451-black-london-hills-original-imag4ztguqrkfsec.jpeg?q=70,London Hills,₹189,"₹1,299",85% off
5,Nikky Men Printed Round Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/l0e6kcw0/t-shirt/h/g/d/m-half-triangel-black-one-nb-nicky-boy-original-imagc747apzffz5q.jpeg?q=70,NB NICKY BOY,₹269,₹777,65% off
6,"Pack of 2 Men Printed Round Neck Cotton Blend Brown, Da...",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/c/c/k/xl-rmt-26-combo-musturd-98-olive-hard-restore-original-imagqftuahdh4f9v.jpeg?q=70,Restore,₹398,"₹1,499",73% off
7,Men Solid Hooded Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/kwtkxow0/t-shirt/j/k/i/l-logo-black-hood-skyfit-original-imag9eqznpfggzwe.jpeg?q=70,SKYFIT,₹209,₹589,64% off
8,Men Striped Polo Neck Cotton Blend Blue T-Shirt,https://rukminim1.flixcart.com/image/612/612/l1grgcw0/t-shirt/x/o/5/m-t428hs-tm5p-eyebogler-original-imagdf2egzjxeqgk.jpeg?q=70,EyeBogler,₹289,"₹1,299",77% off
9,Men Typography Hooded Neck Cotton Blend White T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/q/i/z/s-half-star-one-nb-nicky-boy-original-imagm98snqqacghb.jpeg?q=70,NB NICKY BOY,₹269,₹666,59% off
10,Men Embroidered Round Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/h/x/s/s-401-commando-black-patti-full-real-dad-original-imaghetdgzmgpetb.jpeg?q=70,REAL DAD,₹273,₹999,72% off
11,Men Solid Hooded Neck Cotton Blend Green T-Shirt,https://rukminim1.flixcart.com/image/612/612/kk4c13k0/t-shirt/c/u/b/s-w7-1009-ieshne-lifestyle-original-imafzjfuvnqsghwh.jpeg?q=70,IESHNE LIFESTYLE,₹243,"₹1,799",86% off
12,Oversize T-shirt Women Printed Round Neck Pure Cotton W...,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/1/d/2/s-3813-the-dry-state-original-imagcfh833gdjeem-bb.jpeg?q=70,THE DRY STATE,₹379,"₹1,399",72% off
13,Women Printed Round Neck Pure Cotton Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/a/0/w/xl-rzw01blackprint-rodzen-original-imagmptnzzgha3w3.jpeg?q=70,RodZen,₹474,"₹1,499",68% off
14,Women Printed Round Neck Cotton Blend Orange T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/j/t/g/xl-grl-fs49-orng-groovy-leotude-original-imaghg9whuf6merz.jpeg?q=70,Leotude,₹369,"₹1,099",66% off
15,Women Printed Round Neck Cotton Blend Multicolor T-Shir...,https://rukminim1.flixcart.com/image/612/612/l432ikw0/t-shirt/e/u/j/xl-parisblue-xl-jannie-hustler-original-imagffzqmb7nf88h.jpeg?q=70,Jannie Hustler,₹179,₹499,64% off
16,SWAGGERjns Printed Men Hooded Neck T-Shirt Men Self Des...,https://rukminim1.flixcart.com/image/612/612/l02r1jk0/t-shirt/t/b/q/xl-mht-012blk-swaggerjns-original-imagbyf67cuh2fjy.jpeg?q=70,SWAGGERjns,₹323,"₹1,099",70% off
17,"WE-1005, New Hood Men Color Block Hooded Neck Cotton Bl...",https://rukminim1.flixcart.com/image/612/612/kfzq8i80-0/t-shirt/r/p/l/s-nsp1004blkred-ieshne-lifestyle-original-imafwbxgsfgwyfh8.jpeg?q=70,IESHNE LIFESTYLE,₹243,"₹1,999",87% off
18,Men Printed Round Neck Cotton Blend Green T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/v/t/z/m-pjkcpsnfe14318-peter-england-original-imagpv4wxheddqgu.jpeg?q=70,PETER ENGLAND,₹439,₹799,45% off
19,Women Solid Round Neck Cotton Blend Red T-Shirt,https://rukminim1.flixcart.com/image/612/612/ktd9mkw0/t-shirt/q/h/j/l-necktop-red-base-41-original-imag6qdhgygmybkh.jpeg?q=70,BASE 41,₹227,₹999,77% off
20,Popcorn Structured Men Solid Hooded Neck Polyester Blue...,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/w/m/f/m-hlts002633-highlander-original-imagmgw6xdhgutpf.jpeg?q=70,HIGHLANDER,₹387,"₹1,549",75% off
21,"Pack of 2 Men Striped Round Neck Polyester Blue, Grey T...",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/s/h/e/s-tsrt-catalog-01-kajaru-original-imaghgfq8whzmpny.jpeg?q=70,KAJARU,₹334,"₹1,899",82% off
22,Women Printed Round Neck Cotton Blend Multicolor T-Shir...,https://rukminim1.flixcart.com/image/612/612/l432ikw0/t-shirt/g/f/x/m-dinosor-m-jannie-hustler-original-imagffzwbujgmwhf.jpeg?q=70,Jannie Hustler,₹299,₹499,40% off
23,Couple Printed Round Neck Cotton Blend Grey T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/t/y/k/m-mstops41313-mascln-sassafras-original-imagz3v3ycrbgzyc.jpeg?q=70,MASCLN SASSAFRAS,₹769,"₹1,399",45% off
24,Men Printed Round Neck Cotton Blend Light Blue T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/x/v/e/l-all-rbcropn-sky-one-nb-nicky-boy-original-imagkq6hgg5gqsep.jpeg?q=70,NB NICKY BOY,₹269,₹666,59% off
25,"Men Printed, Typography Round Neck Cotton Blend Grey T-...",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/i/b/g/s-half-triangel-black-one-nb-nicky-boy-original-imagmhzyv6b64vfb.jpeg?q=70,NB NICKY BOY,₹269,₹777,65% off
26,"Men Printed Polo Neck Cotton Blend Blue, Yellow T-Shirt",https://rukminim1.flixcart.com/image/612/612/kwpam4w0/t-shirt/c/m/y/m-hpsts015-hps-sports-original-imag9bhdfnnh3ebr.jpeg?q=70,HPS Sports,₹399,"₹1,248",68% off
27,"Men Color Block Hooded Neck Cotton Blend Black, Yellow ...",https://rukminim1.flixcart.com/image/612/612/kdoup3k0-0/t-shirt/k/z/k/m-bcn012h-yellowblack-black-collection-original-imafujnjfzhbxczz.jpeg?q=70,Black Collection,₹450,"₹1,399",67% off
28,Men Solid Polo Neck Cotton Blend Green T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/k/o/9/xxl-ts-658-rama-moonvelly-original-imaggkphvfes4gx8.jpeg?q=70,MOONVELLY,₹309,"₹1,749",82% off
29,"Men Striped Round Neck Cotton Blend Light Blue, White T...",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/j/4/j/m-auk0164-ausk-original-imagzbp8thhsa5y5.jpeg?q=70,AUSK,₹269,"₹1,499",82% off
30,Men Solid Polo Neck Poly Cotton Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/ke1pnrk0-0/t-shirt/c/b/1/xxl-collared-tshirt-01-the-designer-original-imafute73psre9ew.jpeg?q=70,Polo Plus,₹298,"₹1,199",75% off
31,"Men Color Block Hooded Neck Cotton Blend Black, Grey T-...",https://rukminim1.flixcart.com/image/612/612/kdoup3k0-0/t-shirt/g/r/t/l-bcn012h-greyblack-black-collection-original-imafujnkj8dqxaxp.jpeg?q=70,Black Collection,₹424,"₹1,399",69% off
32,Men Checkered Round Neck Poly Cotton Green T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/w/d/m/s-ts12-vebnor-original-imagppbwtttnamyp.jpeg?q=70,VeBNoR,₹289,"₹1,330",78% off
33,"Men Striped Round Neck Cotton Blend Blue, Black T-Shirt",https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/r/v/k/m-ausk0165-ausk-original-imaghu9fbhcgf2za.jpeg?q=70,AUSK,₹239,"₹1,499",84% off
34,Men Solid Polo Neck Cotton Blend Maroon T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/0/o/s/xxl-g107-mr-uniberry-original-imagp4htybbu7mpu.jpeg?q=70,UNIBERRY,₹329,"₹1,299",74% off
35,Women Typography Round Neck Cotton Blend Pink T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/y/d/g/l-faith-darkpink-base-41-original-imagbrdj9aj7yvxx-bb.jpeg?q=70,BASE 41,₹250,₹999,74% off
36,Men Solid Polo Neck Poly Cotton Maroon T-Shirt,https://rukminim1.flixcart.com/image/612/612/xif0q/t-shirt/t/g/j/s-bb-polo-tshirt-more-more-original-imagm7fzbf3q23yp.jpeg?q=70,DivRa Clothing,₹499,"₹1,499",66% off
37,Men Printed Round Neck Pure Cotton White T-Shirt,https://rukminim1.flixcart.com/image/612/612/kobspe80/t-shirt/m/2/s/xl-12816816-here-now-original-imag2t76mhf4vvv7.jpeg?q=70,HERE&NOW,₹227,₹599,62% off
38,Women Printed Round Neck Cotton Blend Multicolor T-Shir...,https://rukminim1.flixcart.com/image/612/612/l432ikw0/t-shirt/g/f/x/m-dinosor-m-jannie-hustler-original-imagffzwbujgmwhf.jpeg?q=70,Jannie Hustler,₹299,₹499,40% off
39,Women Solid Henley Neck Cotton Blend Black T-Shirt,https://rukminim1.flixcart.com/image/612/612/ktrk13k0/t-shirt/x/z/f/s-w-buttop-bk-base-41-original-imag7fgewwwfpzsn.jpeg?q=70,BASE 41,₹213,₹999,78% off
